Country,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,"Air, Water, and Sanitation",Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Ecosystem Sustainability,Personal Rights,Access to Higher Education,Personal Freedom and Choice,Equity and Inclusion,Undernourishment,Depth of food deficit,Maternal mortality rate,Stillbirth rate,Child mortality rate,Prevalence of tuberculosis,Indoor air pollution attributable deaths,Outdoor air pollution attributable deaths,Access to piped water,Rural/urban access to improved water source,Access to improved sanitation facilities,Access to wastewater treatment,Satisfaction with housing,Access to electricity,Homicide rate,Level of violent crime,Perceived criminality,Political terror,Mobile telephone subscriptions,Internet users,Fixed broadband subscriptions,Press Freedom Index,Adult literacy rate,Primary school enrollment,Secondary school enrollment,Women's mean years in school,Obesity ,Cancer death rate,Deaths from cardiovascular disease and diabetes,Deaths from HIV,Ecological Footprint of Consumption,CO2 emissions per capita,"Energy use per $1,000 GDP",Water withdrawals per capita,Political rights,Freedom of speech,Freedom of assembly/association,Private property rights,Women's property rights,Tertiary school enrollment,Female tertiary enrollment,Basic religious freedoms,Contraceptive prevalence rate,Access to childcare,Freedom over life choices,Equity of opportunity for ethnic minorities,Women treated with respect,Community safety net,Tolerance for immigrants,Tolerance for homosexuals,Life expectancy,Availability of quality healthcare
United Arab Emirates,50.89,60.12,45.38,47.16,60.3,57.84,58.42,63.92,54.13,58.4,59.09,9.89,35.08,45.99,56.29,51.3,56.5,55.02,57.19,58.6,57.04,57.82,55.93,57,53.82,58.64,58.01,55.21,53.5,56.66,59.95,64.91,50.35,60.63,64.19,60.3,49.82,50.53,51.78,44.46,55.11,57.76,34.35,70.75,52.9,,18.56,16.62,17.84,45.32,33.98,37.76,36.7,52.03,42.59,,,55.06,,47.22,60.58,52.33,,49.49,61.81,,55.86,62.09
Argentina,56.32,51.84,55.7,61.41,57.93,52.44,49.27,47.72,59.27,53.54,59.25,50.72,50.93,66.94,62.34,65.43,56.5,55.37,52.74,57.58,54.59,55.95,55.93,43.57,54.12,45.96,54.87,42.8,43.48,55.64,52.63,47.26,38.56,56.31,59.91,51.83,49.82,50.53,56.74,58.94,55.6,55.7,38.43,39.69,56.24,53.36,51.35,51.02,53.86,44.96,54.92,51.36,60.03,34.77,51.21,62.23,64.74,62.74,58.67,47.22,54.97,52.33,39.44,56.5,60.19,62.81,54.79,52.09
Australia,61.26,60.67,54.44,68.67,61.52,62.28,53.99,64.91,59.95,64.37,67.17,26.27,69.13,70.39,68.52,66.64,56.5,57.93,57.53,59.62,57.74,57.75,55.93,57.84,,58.64,58.8,66.23,48.16,56.66,59.95,56.09,62.15,60.63,51.66,63.77,60.45,59.36,57.5,55.91,56.96,57.47,42.51,48.3,62.82,58.97,29.67,24.93,47.62,38.95,60.16,64.96,60.03,67.13,59.82,65.61,66.86,55.06,54.93,59.87,66.98,40.67,62.25,63.52,65.59,66.32,61.25,61.56
Bangladesh,39.59,39.6,43.32,35.84,33.63,37.91,44.98,41.9,31.93,32.8,46.62,61.92,39.62,35.39,35.35,33.01,44.83,44.19,41.58,25.99,43.41,32.21,44.65,58.68,32.09,55.11,41.53,40.04,56.84,37.1,52.63,38.44,50.35,39.02,35.76,35.26,40.82,41.7,30.66,45.78,41.35,33.7,65.28,52.91,41.82,58.97,61.93,58.77,60.51,48.63,49.69,37.76,48.37,36.93,42.59,38.68,38.06,39.72,45.53,47.22,38.94,40.67,60.13,29.33,49.38,40.98,47.24,52.09
Bulgaria,54.08,58.4,51.93,51.9,57.94,63.66,57.13,54.87,60.48,56.3,47.37,43.57,54.63,58.85,49.04,45.07,56.5,52.34,57.26,55.54,55.29,55.38,55.59,16.71,57.99,58.64,58.8,51.07,54.84,53.77,59.95,47.26,50.35,56.31,61.74,52.98,53.91,50.53,57.12,57.1,55.81,59.52,46.02,38.64,38.37,53.36,46.59,48.75,42.81,43.64,54.92,51.36,60.03,41.24,59.82,56.68,57.42,47.39,,72.53,38.94,40.67,49.52,51.24,43.44,49.17,52.63,39.45
Brazil,52.27,48.24,51.6,56.95,55.41,51.86,53.6,32.1,52.65,51.44,47.73,54.59,57.27,43.56,57.75,69.23,54.62,51.99,54.18,52.49,53.9,55.31,53.88,53.64,57.69,48.07,50.56,46.93,48.16,56.19,30.68,38.44,44.46,39.02,56.55,50.67,48.18,50.53,51.97,52.36,55.32,48.08,47.82,48.93,52.32,,50.3,55.74,51.4,54.58,54.92,51.36,60.03,49.87,59.82,44.51,45.24,47.39,59.84,47.22,57.37,64,34.14,58.26,56.95,64.76,51.55,37.87
Botswana,45.61,44.14,44.93,47.76,37.91,44.65,38.56,55.46,44.39,46.88,30.36,58.11,54.61,34.61,52.74,49.09,33.86,34.41,47.06,46.37,50.4,35.44,45.67,57,49.95,53.71,43.89,41.42,49.49,36.7,38,47.26,62.15,64.95,62.35,36.03,41.64,59.36,48.28,42.75,46.96,45.14,53.51,71.59,46.74,30.94,50.3,55.18,57.65,59.7,49.69,51.36,60.03,58.5,42.59,37.44,38.06,62.74,45.63,34.56,56.57,40.67,61.19,53.87,55.87,47.22,30,48.4
Canada,62.63,63.85,55.74,68.3,61.33,59.82,63.95,70.28,65.03,68.77,65.8,23.34,69.13,62.18,67.78,74.11,56.5,57.81,57.19,59.62,57.39,57.87,55.93,57.84,56.5,57.93,58.8,59.89,60.18,56.66,59.95,64.91,62.15,64.95,43.1,65.31,67,68.19,57.5,59.07,60.68,64.8,43.27,45.15,62.24,58.97,31.78,30.6,38.41,29.05,60.16,64.96,60.03,67.13,59.82,58.97,60.43,62.74,56.47,47.22,65.38,64,62.25,60.89,68.83,69.44,60.17,58.4
Switzerland,63.28,63.83,62.58,63.43,61.61,63.33,60.08,70.28,58.99,76.06,66.91,48.35,69.13,56.19,66.38,62.02,56.5,57.93,57.46,59.62,58.09,57.85,55.93,54.48,60.08,58.64,58.8,66.78,55.5,56.66,59.95,64.91,62.15,64.95,58.69,66.08,73.54,68.19,57.5,51.57,55.97,58.93,52.19,50.18,62.68,58.97,39.19,49.13,54.88,54.71,60.16,64.96,60.03,67.13,59.82,55.86,54,55.06,,59.87,62.18,52.33,,60.01,54.78,61.64,61.25,68.41
Chile,56.6,56.61,54.89,58.31,58.27,57.15,53.26,57.76,58.37,54.51,57.47,49.19,62.22,61.93,52.03,57.06,56.5,54.78,56.3,53.51,56.34,56.71,55.93,47.77,57.99,41.73,57.23,59.89,47.49,56.44,52.63,56.09,50.35,60.63,58.38,54.14,50.64,50.53,57.25,52.36,56.42,56.58,38.71,46.62,59.79,53.36,48.71,51.96,52.33,43.9,60.16,64.96,60.03,67.13,25.36,60.25,58.75,55.06,48.49,59.87,46.15,52.33,35.73,50.37,53.7,55.79,58.02,39.45
China,47.92,52.95,48.21,42.59,53.44,47.44,63.86,47.08,49.8,40.84,54.17,48.04,30.36,43.25,60.66,36.1,50.07,49.55,55.48,52.49,54.24,51.64,41.57,34.34,50.55,49.48,44.67,47.21,60.18,56.55,59.95,56.09,38.56,39.02,40.96,47.97,50.64,32.87,54.51,58.41,42.17,46.9,61.01,37.18,50.87,58.97,54.53,48.37,38.51,52.63,28.75,37.76,36.7,36.93,51.21,44.63,44.62,47.39,61.89,59.87,54.17,52.33,63.85,45.99,33.72,42.15,51.55,53.14
Colombia,50.52,45.43,50.51,55.63,53.52,47.47,52.65,28.07,49.43,44.61,49.06,58.95,50.06,51.2,56.34,64.93,48.99,48.61,51.71,56.56,53.2,55.5,53.88,54.48,55.31,39.62,49.77,42.25,47.49,55.71,30.68,38.44,38.56,34.7,48.6,48.74,46.55,41.7,53.94,42.75,53.06,46.61,49.15,54.38,57.73,42.15,56.12,56.31,55.09,56.03,49.69,51.36,48.37,49.87,51.21,51.23,50.68,47.39,59.08,47.22,55.77,64,27.24,57.38,56.41,55.4,52.63,44.71
Costa Rica,57.36,54.75,54.9,62.43,58.7,53.17,52.64,54.48,49.87,54.68,59.8,55.26,63.86,52.02,69.37,64.46,56.5,53.15,55.27,57.58,55.99,57.28,54.22,59.52,59.18,52.3,56.84,41.42,46.82,56.37,38,56.09,50.35,64.95,46.77,49.51,48.18,68.19,55.72,48.8,42.21,52.48,42.98,52.7,59.62,53.36,52.41,55.93,57.44,47.19,60.16,64.96,60.03,49.87,59.82,51.27,51.94,62.74,59.54,47.22,65.38,64,32.55,56.5,54.24,58.52,58.02,53.14
Germany,62.47,64.76,61.42,61.24,61.95,63.77,66.72,66.61,61.52,73.34,66.13,44.71,60.72,55.39,64.46,64.37,56.5,58.16,57.53,60.64,58.09,57.87,55.93,52.8,60.08,58.64,58.8,67.61,63.52,56.66,59.95,56.09,62.15,64.95,58.99,65.31,67.82,68.19,57.5,56.7,59.95,58.05,46.11,43.89,58.83,58.97,41.3,42.32,52.73,52.28,60.16,51.36,48.37,67.13,59.82,54.69,53.89,47.39,57.49,59.87,63.78,52.33,55.36,60.89,59.65,61.64,59.1,66.83
Dominican Republic,50.52,48.2,49.8,53.55,48.45,52.29,56.93,35.15,48.37,45.15,46.97,58.69,50.99,48.34,59.57,55.28,46.22,46.05,47.74,50.45,50.75,52.97,54.9,50.29,51.74,56.52,52.13,42.8,52.83,55.53,30.68,47.26,38.56,43.35,45.24,47.2,44.09,50.53,51.46,45.78,47.37,49.84,45.54,54.38,48.5,42.15,58.23,55.36,55.4,53.47,54.92,51.36,48.37,41.24,59.82,47.78,49.58,62.74,55.91,34.56,58.97,52.33,27.77,54.75,50.46,49.17,51.55,47.35
Egypt,43.94,49.88,46.86,35.09,55.92,60.85,38.38,44.39,44.18,42.92,50.3,50.03,39.04,45.59,22.57,33.16,56.5,57.35,53.49,49.43,52.15,56.45,55.59,49.45,58.88,57.93,56.84,59.34,29.45,56.51,59.95,38.44,50.35,39.02,49.52,48.36,42.46,41.7,40.33,48.8,49.87,45.43,33.49,59,42.64,58.97,56.64,54.23,46.08,39.88,39.22,51.36,36.7,43.4,42.59,47.15,45.82,32.04,49.46,34.56,26.93,40.67,53.77,45.11,32.1,,51.55,37.34
Spain,60.43,58.98,57.97,64.34,61.37,63.61,50.67,60.25,61.13,62.91,64.13,43.7,66.5,68.71,53.12,69.03,56.5,57.46,57.6,59.62,58.09,57.02,55.59,49.45,59.78,58.64,58.8,65.96,44.15,56.66,59.95,56.09,50.35,60.63,53.18,59.53,60.45,59.36,56.68,59.33,60.89,55.12,43.46,45.78,62.79,53.36,40.25,47.43,53.14,42.95,60.16,64.96,60.03,58.5,59.82,64.91,64.87,55.06,52.22,47.22,50.96,52.33,53.77,60.01,62.35,69.05,61.25,57.88
Ethiopia,32.13,26.69,34.66,35.04,21.91,17.07,21.81,45.97,20.56,28.97,23.03,66.09,30.06,33.93,32.42,43.76,21.69,18.35,34.05,36.18,32.57,43.22,21.75,60.36,32.68,14.26,27.8,40.04,37.47,28.5,38,56.09,50.35,43.35,23.84,33.72,40.82,41.7,19.33,41.96,32.3,26.95,65.19,58.79,35.58,,59.82,59.14,63.89,60.32,33.98,37.76,36.7,41.24,33.98,37.52,36.89,39.72,26.15,47.22,50.16,52.33,54.3,38.1,56.95,,36.46,29.97
France,60.7,61.04,59.97,61.08,61.4,62.8,57.86,62.08,62.45,67.72,63.64,46.08,63.05,58.56,63.47,59.24,56.5,58.16,57.46,58.6,58.09,57.87,55.93,53.64,60.08,58.64,58.8,64.3,52.83,56.66,59.95,60.5,50.35,60.63,47.68,64.15,70.27,59.36,57.5,57.76,62.24,57.47,51.52,39.27,63.79,53.36,39.72,48.75,52.33,50.16,60.16,51.36,60.03,62.81,59.82,56.6,57.04,47.39,54.93,72.53,58.17,40.67,53.77,60.01,54.24,62.03,60.17,59.98
United Kingdom,63.41,62.76,62.57,64.91,61.04,64.47,61.74,63.79,64.04,69.91,68.1,48.23,69.13,60.59,62.7,67.22,56.5,58.04,57.19,58.6,57.74,57.02,55.93,46.09,60.08,58.64,58.8,66.78,57.51,56.66,59.95,60.5,50.35,64.95,58.69,64.92,67.82,59.36,57.5,59.07,62.24,60.69,42.7,40.95,61.34,58.97,40.77,44.78,55.4,57.78,60.16,64.96,60.03,67.13,59.82,57.76,59.09,47.39,61.58,47.22,63.78,52.33,62.25,61.76,61.27,67.1,59.1,67.36
Georgia,48.56,53,52.09,40.58,42.63,56.6,57.45,55.34,60.2,47.95,47.41,52.82,49.4,45.43,39.43,28.06,37.02,32.67,53.43,45.35,52.15,48.16,54.56,22.58,52.04,55.82,56.84,40.04,61.52,47.48,52.63,47.26,62.15,51.99,49.82,47.59,47.37,50.53,57.95,57.23,54.46,59.23,46.21,56.69,35.24,58.97,58.23,56.88,43.63,45.56,49.69,51.36,48.37,47.71,51.21,46.22,46.5,47.39,45.94,47.22,39.75,40.67,60.13,24.07,43.98,40.2,51.55,44.19
Ghana,42.69,40.83,43.88,43.36,42.09,33.54,38.71,48.98,35.02,43.02,35.24,62.24,55.65,36.01,38.93,42.86,56.5,56.18,34.05,40.26,32.22,52.4,45.67,56.16,35.66,50.89,25.05,40.04,44.15,42.22,52.63,47.26,50.35,47.67,44.63,38.73,40.82,59.36,37.34,36.17,42.05,41.03,58.73,57.74,44.02,36.55,56.64,58.77,56.32,60.96,60.16,51.36,60.03,49.87,42.59,39.26,38.47,55.06,30.65,47.22,46.15,64,53.77,38.1,50.46,39.42,41.85,43.13
