,Country Code,,Social Progress Index,,Basic Human Needs,Foundations of Wellbeing,Opportunity,,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Ecosystem Sustainability,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education,,Undernourishment (% of pop.),Depth of food deficit (calories/undernourished person),"Maternal mortality rate (deaths/100,000 live births)","Stillbirth rate (deaths/1,000 live births)","Child mortality rate (deaths/1,000 live births)","Deaths from infectious diseases (deaths/100,000)",Access to piped water (% of pop.),Rural vs. urban access to improved water source (absolute difference between % of pop.),Access to improved sanitation facilities (% of pop.),Availability of affordable housing (% satisfied),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Indoor air pollution attributable deaths (deaths/100,000)","Homicide rate (1= <2/100,000; 5= >20/100,000",Level of violent crime (1=low; 5=high),Perceived criminality (1=low; 5=high),Political terror (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Lower secondary school enrollment (% of children),Upper secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Press Freedom Index (0=most free; 100=least free),Life expectancy (years),Non-communicable disease deaths between the ages of 30 and 70 (probability of dying),Obesity rate (% of pop.),"Outdoor air pollution attributable deaths (deaths/100,000)","Suicide rate (deaths/100,000)",Greenhouse gas emissions (CO2 equivalents per GDP),Water withdrawals as a percent of resources,Biodiversity and habitat (0=no protection; 100=high protection),Political rights (1=full rights; 7=no rights),Freedom of speech (0=low; 2=high),Freedom of assembly/association (0=low; 2=high),Freedom of movement (0=low; 4=high),Private property rights (0=none; 100=full),Freedom over life choices (% satisfied),Freedom of religion (1=low; 4=high),"Modern slavery, human trafficking and child marriage (1=low; 100=high)",Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Women treated with respect (0=low; 100=high),Tolerance for immigrants (0=low; 100=high),Tolerance for homosexuals (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Religious tolerance (1=low; 4=high),Community safety net (0=low; 100=high),Years of tertiary schooling,Women's average years in school,Inequality in the attainment of education (0=low; 1=high),Number of globally ranked universities (0=none; 5= >50)
Albania,ALB,,69.13,,80.12,73.13,54.14,,94.81,91.53,66.72,67.43,87.02,69.18,78.21,58.12,61.55,65.97,49.47,39.58,,<5.0,52,27,5,17,46,81.8,1.8,93.9,61,100,4.5,75.0,2,3,3,2,12.7,96.8,80.0,92.6,82.5,1.0,110.7,54.7,30.9,77.2,20,21.1,8,5.7,267.6,1.9,63.2,3,1,2,3,30,58,4,11.1,82.4,31,44,45,12,4.8,4,77,0.25,11,0.12,0
Algeria,DZA,,59.13,,76.25,64.25,36.90,,91.00,87.04,68.57,58.38,87.15,50.63,79.65,39.56,20.97,59.91,40.94,25.79,,<5.0,22,97,11,20,202,73.7,6.0,95.1,31,99,4.2,3.2,1,3,4,3,18.2,72.6,97.3,127.8,62.0,1.0,97.9,15.2,36.5,70.8,18,17.5,6,1.5,629.6,3.4,34.9,6,0,0,2,30,56,1,7.3,82.5,36,49,49,21,7.8,2,83,0.29,6.9,,0
Angola,AGO,,39.93,,41.67,46.38,31.75,,53.94,43.05,28.09,41.59,53.22,33.12,66.60,32.56,21.84,52.26,37.22,15.67,,27.4,176,450,25,164,819,20.0,31.6,58.7,33,35,1.7,81.6,4,3,5,3,23.1,70.4,85.7,39.2,22.9,0.6,47.1,16.9,37.8,51.1,31,7.2,11,7.5,2227.7,1.5,41.7,6,1,0,1,15,57,3,4.8,31.2,23,62,41,15,6.8,2,70,,4.5,0.35,0
Argentina,ARG,,70.59,,77.77,70.62,63.38,,94.62,95.65,60.75,60.07,94.53,69.54,70.56,47.83,66.55,73.61,64.53,48.83,,<5.0,26,77,5,14,87,98.4,4.2,96.3,36,88,3.1,3.2,2,3,4,2.5,12.6,97.9,99.1,112.2,68.4,1.1,151.9,55.8,25.7,75.8,18,29.4,24,10.4,618.5,2.5,44.9,2,1,2,4,15,73,4,4.4,86.9,34,26,72,64,5.0,3,88,0.28,11.9,0.12,2
Armenia,ARM,,65.03,,78.42,69.27,47.39,,92.39,94.71,62.92,63.66,93.45,64.37,59.36,59.91,41.78,57.30,39.30,51.20,,<5.0,17,30,15,16,74,95.7,1.2,90.4,27,100,5.2,43.3,1,3,3,3,18.1,99.6,84.1,94.3,99.4,1.2,111.9,39.2,28.0,74.3,30,23.4,61,3.5,886.1,3.1,80.2,5,1,1,2,30,46,2,10.6,74.5,36,68,52,3,5.7,2,66,0.65,11.9,0.04,0
Australia,AUS,,86.10,,92.47,80.27,85.54,,98.28,99.94,84.12,87.53,96.80,83.36,81.79,59.14,97.60,90.56,78.70,75.32,,<5.0,4,7,3,5,18,,0.0,100.0,50,100,6.2,0.0,1,2,2,1,6.1,99.0,96.4,111.6,174.5,0.9,105.6,82.3,15.2,81.8,11,25.1,7,9.3,769.1,3.5,83.1,1,2,2,4,90,93,4,2.2,87,81,83,87,72,3.6,3,93,1.12,12.5,0.02,4
Austria,AUT,,85.11,,94.57,86.35,74.42,,98.21,100.00,88.38,91.67,96.56,94.10,79.98,74.76,87.96,83.20,66.45,60.09,,<5.0,1,4,4,4,14,100.0,0.0,100.0,57,100,6.7,0.0,1,1,2,1,6.6,98.0,,101.5,94.8,1.0,160.5,81.0,9.4,81.0,12,18.3,14,13.4,284.5,0.3,86.6,1,1,2,4,90,90,3,1.1,80.4,69,78,63,48,4.3,3,94,0.48,12,0.03,3
Azerbaijan,AZE,,62.44,,76.19,68.59,42.54,,91.43,68.56,77.50,67.29,93.26,63.46,68.04,49.61,28.21,55.42,39.69,46.85,,<5.0,11,43,12,35,102,50.7,17.8,82.0,53,100,4.8,21.9,2,2,3,3,13.1,99.8,86.6,92.0,115.2,1.0,108.8,54.2,47.7,70.6,33,24.7,16,2.5,795.7,3.4,58.7,6,1,0,2,20,54,1,11.1,78.6,28,77,50,6,6.9,2,74,,12.1,0.08,0
Bangladesh,BGD,,52.04,,57.28,59.40,39.44,,72.55,56.57,42.91,57.08,71.65,35.40,76.58,53.97,51.40,61.66,30.13,14.56,,16.8,122,240,36,41,344,9.6,2.9,54.7,62,55,2.2,87.3,2,4,3,3.5,11.6,57.7,91.5,66.5,38.8,1.2,62.8,6.3,42.0,69.9,29,1.1,6,10.3,588.6,0.6,39.7,3,1,1,3,20,64,2,9.5,82.4,27,81,57,8,8.6,1,58,0.15,4.4,0.39,0
Belarus,BLR,,65.20,,84.13,67.35,44.13,,97.93,94.76,74.99,68.84,96.78,61.19,56.56,54.87,15.15,61.83,49.08,50.46,,<5.0,2,4,4,5,30,91.2,0.5,93.0,36,100,,10.7,2,2,3,2.5,14.4,99.6,94.0,101.9,115.9,1.0,113.5,46.9,48.4,70.7,31,23.4,34,28.2,816.3,0.6,41.3,7,0,0,2,20,53,2,4.8,86.5,29,67,46,10,6.8,4,86,,13,0.05,0
Belgium,BEL,,82.63,,92.74,78.81,76.34,,98.26,100.00,86.11,86.60,98.40,88.83,77.85,50.16,85.56,81.99,70.24,67.56,,<5.0,1,8,3,4,33,100.0,0.0,100.0,54,100,6.4,0.0,1,2,2,1,8.1,99.0,98.8,119.1,100.7,1.0,111.3,82.0,12.9,80.5,13,19.1,14,17.3,439.9,3.2,57.6,1,1,2,4,80,82,2,1.1,89.9,75,77,64,67,4.1,3,92,0.93,13.4,0.08,3
Benin,BEN,,49.11,,47.76,57.24,42.33,,72.09,36.68,31.47,50.79,50.50,47.60,72.35,58.51,52.05,58.85,49.26,9.17,,8.1,46,350,24,90,618,16.2,15.4,14.2,43,28,2.2,90.0,4,3,4,2,23.9,28.7,94.9,58.9,31.0,0.6,83.7,3.8,28.3,58.9,28,6.5,11,3.3,1370.1,0.0,65.9,2,1,1,2,30,77,4,23.6,40.6,36,65,77,4,3.6,3,52,0.1,2.4,0.42,0
Bolivia,BOL,,62.90,,63.44,71.42,53.85,,77.11,61.55,53.78,61.31,86.22,59.44,78.25,61.75,54.18,72.45,54.47,34.31,,24.1,161,190,17,41,253,82.8,24.1,46.3,44,80,3.8,40.3,3,3,3,2,19.2,91.2,83.4,90.5,70.5,1.0,90.4,34.2,32.8,66.6,17,18.9,0,6.0,1387.1,0.7,81.0,3,1,1,4,10,85,4,9.3,75.1,34,34,69,37,7.1,4,78,0.54,9.2,0.28,0
Bosnia and Herzegovina,BIH,,64.99,,84.52,63.53,46.93,,97.30,92.32,72.76,75.69,90.21,68.10,63.54,32.29,46.23,61.80,37.17,42.51,,<5.0,21,8,4,7,22,82.0,1.7,95.8,39,100,6.5,75.7,1,2,3,1.5,15.6,98.0,88.4,92.1,73.5,1.0,87.6,65.4,26.9,76.0,20,24.2,52,12.4,1021.1,0.0,2.5,3,1,1,2,20,40,4,10.4,70.6,42,42,51,10,7.7,2,77,,10.1,0.05,0
Botswana,BWA,,65.60,,65.88,72.67,58.25,,70.02,74.92,51.54,67.05,84.49,61.37,69.17,75.66,71.14,74.37,59.34,28.16,,27.9,206,160,16,53,739,69.8,6.4,64.0,46,43,3.1,27.0,4,3,2,1,20.8,85.1,83.8,89.9,68.3,1.1,153.8,11.5,22.9,46.7,22,13.5,8,3.3,458.0,1.4,100.0,3,1,2,3,70,79,4,19.9,74,64,71,60,24,4.8,4,83,0.14,8.3,,0
Brazil,BRA,,69.97,,71.09,75.78,63.03,,92.02,81.64,73.20,37.50,95.43,67.69,76.05,63.94,74.94,77.32,61.77,38.09,,6.9,55,56,10,14,97,91.7,15.1,80.8,36,99,4.8,12.0,5,4,4,3.5,22.5,90.4,95.0,114.0,95.3,,125.0,49.8,32.8,73.3,20,19.5,12,6.4,590.9,0.9,66.7,2,1,2,4,50,80,4,7.2,91.5,42,28,69,62,5.9,3,89,0.25,9.3,0.25,2
Bulgaria,BGR,,70.24,,82.01,71.72,56.98,,94.95,98.66,62.83,71.58,93.67,69.33,60.63,63.25,62.40,64.01,50.09,51.42,,<5.0,52,11,7,12,31,96.8,0.7,100.0,55,100,4.0,57.0,1,3,3,2,10.4,98.4,96.5,84.1,101.2,1.0,148.1,55.1,28.6,74.2,26,21.4,56,10.7,714.0,1.3,68.9,2,1,1,4,30,59,2,10.8,85.5,41,61,46,29,4.6,2,83,0.59,13.2,0.06,0
Burkina Faso,BFA,,47.33,,40.16,56.07,45.75,,61.24,31.04,18.43,49.93,40.17,44.98,73.28,65.88,61.77,58.27,54.41,8.53,,25.9,185,300,26,102,801,6.9,22.3,18.0,54,13,2.0,116.2,4,3,3,3,27.7,28.7,66.4,35.7,11.1,0.8,60.6,3.7,23.7,55.4,29,2.4,6,2.8,1088.9,0.0,83.8,5,2,1,4,30,73,4,20.6,35.8,38,67,86,5,5.3,3,74,,1.5,0.36,0
Burundi,BDI,,37.33,,32.84,46.05,33.10,,27.58,50.39,10.96,42.43,61.30,19.63,68.59,34.70,39.38,50.10,33.18,9.73,,73.4,660,800,28,104,943,6.2,8.6,50.1,34,5,1.8,133.2,5,3,4,3.5,21.3,86.9,94.0,38.7,14.5,0.7,22.8,1.2,38.0,53.1,29,3.3,4,15.6,8442.2,0.0,30.3,5,1,1,2,20,49,4,19.6,43,21,52,57,3,8.1,4,42,0.03,3.2,,0
Cambodia,KHM,,51.89,,47.44,66.89,41.33,,76.91,35.58,28.96,48.30,70.45,48.17,77.88,71.07,43.53,63.79,40.02,17.99,,17.1,114,250,18,40,478,17.2,28.2,33.1,51,31,3.2,147.2,3,4,4,3,17.2,73.9,98.4,62.6,28.4,0.9,128.5,4.9,41.8,71.1,27,2.3,4,10.8,934.7,0.4,78.9,6,1,1,3,30,95,3,20.0,67.6,20,92,25,22,7.0,4,60,0.03,4.7,0.28,0
Cameroon,CMR,,45.51,,44.13,53.73,38.65,,60.52,30.84,39.15,46.03,68.37,39.94,66.06,40.56,25.43,60.37,49.80,19.01,,15.7,101,690,26,95,861,14.9,42.9,47.8,44,49,2.6,81.5,4,4,4,2.5,20.1,71.3,91.5,60.4,35.9,0.9,60.4,5.7,34.8,54.1,31,11.1,17,4.4,2241.4,0.1,45.7,6,1,0,1,30,79,4,20.9,53.5,25,62,74,8,7.8,4,76,0.08,6.6,0.35,0
Canada,CAN,,86.95,,93.52,80.31,87.02,,98.10,95.76,88.64,91.58,98.00,83.23,80.78,59.21,87.96,91.14,86.79,82.21,,<5.0,5,12,3,5,23,87.7,1.0,99.8,63,100,6.5,0.0,1,1,2,1,6.8,99.0,,99.9,103.5,1.0,80.1,86.8,12.7,81.1,12,24.3,7,10.9,604.5,1.2,58.4,1,1,2,4,90,92,4,1.7,90.2,81,85,93,81,3.1,4,94,1.32,15,0.03,4
Central African Republic,CAF,,34.17,,27.42,47.38,27.70,,47.06,23.61,9.61,29.41,35.90,26.64,64.78,62.20,15.32,54.91,31.17,9.40,,30.0,211,890,24,129,1060,2.5,41.0,33.8,30,9,,155.3,5,5,5,4,14.6,56.6,71.9,23.6,9.3,0.5,25.3,3.0,26.6,48.8,31,3.7,13,12.3,28763.6,0.0,97.0,7,0,1,1,10,78,2,20.4,53.4,25,61,74,11,8.5,2,39,0.06,3.9,0.46,0
Chad,TCD,,32.60,,25.94,42.42,29.45,,39.29,26.11,6.38,31.97,28.01,29.94,69.04,42.70,35.82,40.98,35.78,5.21,,33.4,252,1100,29,150,1009,6.0,26.4,11.7,22,4,1.6,100.6,4,4,5,3.5,29.7,35.4,63.1,26.5,17.1,0.5,35.4,2.1,34.9,50.2,31,3.1,11,2.8,2523.2,0.5,55.3,7,0,2,3,20,56,2,20.2,20.3,19,36,61,4,8.8,3,67,,1.4,0.43,0
Chile,CHL,,76.30,,83.85,72.99,72.06,,94.85,92.19,76.37,71.99,94.91,71.28,74.74,51.06,89.85,80.17,65.76,52.45,,<5.0,31,25,9,9,43,94.8,9.4,98.7,41,100,5.2,6.7,2,2,3,2,12.3,98.6,93.1,97.9,86.2,1.0,138.2,61.4,26.2,79.3,13,29.1,19,12.4,418.1,3.2,60.2,1,2,1,4,90,72,4,7.4,82.2,71,37,68,58,3.5,3,85,0.74,12.2,0.14,1
China,CHN,,58.67,,73.02,63.78,39.21,,91.01,70.99,72.75,57.34,94.87,41.78,72.74,45.74,4.80,68.59,38.62,44.81,,11.5,76,37,10,14,58,70.2,13.5,65.1,71,100,5.1,75.9,1,2,4,4,20.5,95.1,100.0,102.7,73.0,1.0,80.8,42.3,73.1,75.0,21,5.6,35,12.0,1138.5,2.9,66.6,7,0,0,0,20,77,1,8.6,96.2,40,89,45,14,8.3,2,77,0.2,8.9,0.23,4
Colombia,COL,,67.24,,69.56,75.72,56.45,,90.61,72.18,76.88,38.56,89.63,61.84,79.21,72.18,58.60,75.13,51.41,40.67,,12.6,84,92,6,18,64,88.2,27.2,78.1,46,97,5.2,21.5,5,4,4,4,15.6,93.6,83.9,101.3,75.9,1.1,102.9,49.0,37.5,73.6,15,18.1,11,5.7,443.3,0.3,80.4,3,1,1,3,50,81,4,9.5,90.4,36,17,68,47,7.5,2,91,0.36,8.8,0.22,2
"Congo, Republic of",COG,,47.99,,34.18,64.38,45.42,,54.02,10.00,26.20,46.51,72.25,53.67,65.67,65.92,43.91,62.44,48.91,26.44,,37.4,271,560,26,96,692,23.2,63.6,17.8,43,37,,123.3,5,4,4,2,17.1,83.8,90.2,64.2,37.8,0.9,98.8,6.1,28.2,57.8,29,5.3,28,9.2,976.9,0.4,66.3,6,1,1,4,10,77,4,21.0,69.1,22,54,72,9,6.0,4,62,0.09,8.3,0.25,0
Costa Rica,CRI,,77.75,,82.66,80.53,70.04,,95.16,91.03,78.83,65.63,93.52,78.12,81.71,68.79,82.83,82.71,71.19,43.41,,6.5,45,40,5,10,32,95.6,8.9,93.7,42,99,5.6,5.4,4,2,3,2,12.7,96.3,94.1,118.7,75.3,1.1,111.9,47.5,12.1,79.5,12,24.6,5,7.5,308.7,1.9,89.6,1,2,2,3,50,92,3,1.7,94.5,53,37,77,59,4.1,4,89,0.61,10.8,0.16,0
Croatia,HRV,,73.31,,88.16,76.87,54.88,,96.46,93.94,81.95,80.28,94.79,71.77,71.31,69.63,68.22,65.18,43.66,42.46,,<5.0,9,17,8,5,20,87.5,2.9,98.2,54,100,5.6,14.4,1,2,3,1,10.4,98.9,88.4,103.6,92.2,1.0,115.4,63.0,26.6,76.9,19,21.3,26,13.8,380.2,0.0,70.9,1,1,1,4,40,46,3,10.3,85.1,48,47,35,22,5.3,3,73,0.27,12.1,0.10,0
Cuba,CUB,,61.07,,82.10,58.11,42.99,,97.04,84.37,67.62,79.38,95.92,13.25,73.84,49.42,2.40,60.71,64.63,44.19,,<5.0,3,73,3,6,47,76.3,9.8,92.1,14,100,,14.6,2,1,2,3,7.8,99.8,96.4,99.9,80.9,1.0,14.9,25.6,71.6,78.9,17,20.5,26,11.7,471.3,3.2,56.1,7,0,0,0,10,26,2,1.3,88.3,46,,50,54,4.8,4,93,0.31,12.4,,0
Czech Republic,CZE,,80.41,,91.77,83.26,66.21,,90.88,98.44,85.66,92.08,97.19,86.66,73.21,76.00,75.41,74.46,61.14,53.83,,<5.0,6,5,27,4,25,95.1,0.2,100.0,52,100,6.4,2.9,1,2,1,1,7.6,99.0,,102.7,91.0,1.0,126.8,75.0,10.2,77.9,18,28.7,14,13.1,469.0,1.1,98.4,1,1,1,4,70,71,4,10.8,87.6,48,70,49,43,3.8,3,89,0.32,13.8,0.01,1
Denmark,DNK,,86.55,,95.73,84.82,79.10,,98.53,100.00,91.81,92.56,98.41,97.83,78.84,64.19,87.96,90.76,76.64,61.02,,<5.0,4,12,2,4,27,100.0,0.0,100.0,72,100,6.7,0.0,1,1,2,1,4.7,99.0,95.9,117.4,121.6,1.0,117.6,93.0,7.1,79.8,15,16.2,16,11.8,322.5,1.0,67.7,1,1,2,4,90,92,3,1.1,88.9,91,91,77,67,3.4,3,94,0.63,13.4,0.03,2
Djibouti,,,45.95,,59.82,41.34,36.68,,67.96,55.75,54.08,61.50,52.77,16.91,63.88,31.80,31.32,60.70,46.31,8.39,,19.8,138,200,34,81,470,63.3,32.7,61.3,32,50,,24.0,2,1,3,3,34.8,67.9,61.2,50.7,35.1,0.8,24.7,8.3,67.4,60.8,27,10.4,34,11.4,634.5,3.4,15.5,6,0,0,4,30,74,3,10.0,44.3,36,84,56,5,6.2,4,63,,3.6,0.47,0
Dominican Republic,DOM,,63.03,,65.78,71.38,51.93,,85.06,83.61,61.55,32.90,86.32,61.55,74.33,63.32,44.30,72.94,56.23,34.25,,15.4,106,150,12,27,147,67.4,1.5,82.3,50,98,2.1,14.3,5,3,4,3.5,41.7,90.1,88.2,84.4,70.5,1.1,86.9,45.0,28.3,73.0,20,21.9,16,6.0,365.1,3.5,92.9,2,1,0,2,30,83,4,9.0,84.9,29,18,63,34,6.1,4,87,0.44,9.9,0.27,0
Ecuador,ECU,,68.15,,72.98,75.97,55.51,,85.27,84.65,74.81,47.18,92.32,63.12,79.89,68.54,56.58,74.47,52.23,38.78,,18.3,120,110,12,23,105,86.0,14.3,92.9,53,97,4.5,3.9,4,3,4,2.5,27.0,91.6,95.2,96.1,77.3,1.0,106.2,35.1,34.7,75.9,14,22,6,8.0,461.8,1.9,88.1,3,1,1,4,20,81,4,9.8,88.9,35,43,60,36,7.2,4,77,0.55,10.3,0.22,0
Egypt,EGY,,59.97,,76.77,68.98,34.17,,92.30,96.39,61.12,57.25,84.33,60.31,69.77,61.50,28.21,57.07,24.67,26.72,,<5.0,9,66,13,21,76,96.1,1.2,95.0,17,100,3.4,5.9,1,4,3,4,13.2,73.9,95.6,100.8,52.9,1.0,119.9,44.1,48.7,70.7,22,34.6,17,2.3,639.2,1.3,65.3,6,1,0,2,20,44,1,5.1,84.3,32,69,25,,8.5,1,73,0.29,8.4,0.41,1
