,Country Code,,Social Progress Index,,Basic Human Needs,Foundations of Wellbeing,Opportunity,,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Ecosystem Sustainability,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education,,Undernourishment (% of pop.),Depth of food deficit (calories/undernourished person),"Maternal mortality rate (deaths/100,000 live births)","Stillbirth rate (deaths/1,000 live births)","Child mortality rate (deaths/1,000 live births)","Deaths from infectious diseases (deaths/100,000)",Access to piped water (% of pop.),Rural vs. urban access to improved water source (absolute difference between % of pop.),Access to improved sanitation facilities (% of pop.),Availability of affordable housing (% satisfied),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Indoor air pollution attributable deaths (deaths/100,000)","Homicide rate (1= <2/100,000; 5= >20/100,000",Level of violent crime (1=low; 5=high),Perceived criminality (1=low; 5=high),Political terror (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Lower secondary school enrollment (% of children),Upper secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Press Freedom Index (0=most free; 100=least free),Life expectancy (years),Non-communicable disease deaths between the ages of 30 and 70 (probability of dying),Obesity rate (% of pop.),"Outdoor air pollution attributable deaths (deaths/100,000)","Suicide rate (deaths/100,000)",Greenhouse gas emissions (CO2 equivalents per GDP),Water withdrawals as a percent of resources,Biodiversity and habitat (0=no protection; 100=high protection),Political rights (1=full rights; 7=no rights),Freedom of speech (0=low; 2=high),Freedom of assembly/association (0=low; 2=high),Freedom of movement (0=low; 4=high),Private property rights (0=none; 100=full),Freedom over life choices (% satisfied),Freedom of religion (1=low; 4=high),"Modern slavery, human trafficking and child marriage (1=low; 100=high)",Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Women treated with respect (0=low; 100=high),Tolerance for immigrants (0=low; 100=high),Tolerance for homosexuals (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Religious tolerance (1=low; 4=high),Community safety net (0=low; 100=high),Years of tertiary schooling,Women's average years in school,Inequality in the attainment of education (0=low; 1=high),Number of globally ranked universities (0=none; 5= >50)
El Salvador,SLV,,64.70,,68.98,67.20,57.92,,88.02,73.59,76.56,37.73,83.86,65.71,75.28,43.97,72.54,72.66,58.42,28.05,,12.3,80,81,14,16,127,71.8,12.8,70.0,61,92,4.7,24.9,5,5,4,2.5,21.9,84.5,93.6,88.0,45.8,1.0,137.3,25.5,22.9,71.9,15,26.9,7,11.1,331.0,1.5,24.5,2,1,2,4,40,67,4,7.1,89.3,38,27,61,50,5.7,4,80,0.4,8.1,0.32,0
Estonia,EST,,81.28,,87.13,84.39,72.32,,97.61,95.04,76.84,79.02,98.18,93.48,76.38,69.50,97.60,79.46,51.48,60.74,,<5.0,23,2,4,4,21,90.3,2.3,97.9,44,100,5.1,19.5,2,2,3,1,6.5,99.8,94.8,104.0,113.5,1.0,160.4,79.0,9.3,76.1,23,18.9,0,14.5,992.4,2.8,100.0,1,2,2,4,90,65,4,3.5,84.3,68,61,35,27,5.9,4,86,0.92,12.5,0.03,1
Finland,FIN,,86.91,,94.63,84.17,81.92,,98.74,99.83,90.66,89.29,99.25,97.21,78.60,61.63,87.96,93.10,78.74,67.89,,<5.0,8,5,2,3,11,99.4,0.0,100.0,67,100,6.7,0.0,2,1,2,1,5.1,100.0,98.2,99.3,115.1,1.0,172.3,91.0,6.4,80.5,12,19.9,11,18.0,413.5,1.0,61.9,1,1,2,4,90,91,4,1.1,90.7,89,84,72,66,1.4,3,92,0.81,13.4,0.02,3
France,FRA,,81.11,,91.23,79.37,72.72,,98.03,100.00,86.89,79.99,99.21,82.64,80.48,55.16,80.39,84.29,62.03,64.18,,<5.0,2,8,4,4,23,100.0,0.0,100.0,52,100,6.6,0.0,1,2,3,1.5,6.4,99.0,98.3,106.4,114.7,1.0,97.4,83.0,21.6,81.7,12,15.6,12,16.6,284.0,1.8,54.5,1,1,2,3,80,83,3,2.1,93,71,69,66,62,5.9,2,93,0.64,12.5,0.09,4
Georgia,GEO,,63.94,,75.11,67.64,49.07,,80.65,88.89,61.81,69.11,94.91,66.34,63.32,45.98,48.45,66.11,30.16,51.55,,24.7,221,67,17,20,72,78.2,4.1,93.4,65,100,5.3,107.5,2,3,2,2.5,15.7,99.7,98.3,110.3,81.2,0.9,107.8,45.5,30.1,73.8,28,21.2,49,4.8,691.1,1.5,29.6,3,1,0,3,40,60,3,11.6,73.9,49,81,47,6,8.0,2,52,,13.1,0.03,0
Germany,DEU,,84.61,,93.08,84.96,75.81,,98.68,100.00,85.44,88.19,97.38,89.45,79.70,73.30,80.21,86.69,68.47,67.85,,<5.0,2,7,2,4,21,100.0,0.0,100.0,57,100,6.1,0.0,1,2,2,1,4.7,99.0,97.9,99.6,105.8,1.0,111.6,84.0,10.2,80.7,13,21.3,13,10.6,337.6,1.9,100.0,1,1,1,4,90,90,3,2.6,89,78,78,75,63,4.3,2,92,0.64,12.7,0.02,4
Ghana,GHA,,55.96,,52.39,65.63,49.85,,75.78,39.10,42.19,52.50,71.35,63.11,73.92,54.13,78.37,59.76,43.71,17.57,,<5.0,19,350,22,72,608,18.2,12.1,13.5,39,61,2.7,93.0,4,3,3,3,22.2,71.5,81.8,81.6,39.9,0.9,101.0,17.1,17.3,60.8,27,8,9,2.1,724.5,0.1,34.3,1,1,2,4,50,68,4,21.0,40.3,46,69,59,4,4.9,2,68,0.11,6.9,0.41,0
Greece,GRC,,73.43,,86.99,74.85,58.45,,98.36,99.04,76.74,73.83,97.77,69.60,78.65,53.37,64.80,61.44,46.13,61.44,,<5.0,1,3,3,5,25,99.5,0.5,98.6,40,100,5.3,0.0,1,3,2,2.5,12.2,97.3,99.5,110.6,111.0,1.0,120.0,56.0,28.5,80.7,13,17.5,31,3.1,434.1,3.3,66.5,2,1,1,4,40,36,2,1.1,86.5,40,64,40,21,4.8,2,81,0.93,12.9,0.11,2
Guatemala,GTM,,61.37,,66.50,67.95,49.67,,78.77,82.47,65.19,39.59,76.88,57.18,78.00,59.73,65.52,70.94,45.28,16.92,,30.4,199,120,10,32,225,85.5,10.5,80.2,55,82,5.3,50.2,5,5,5,2.5,6.7,75.9,92.8,70.6,56.4,0.9,137.8,16.0,29.4,71.3,16,20.7,4,8.7,566.9,1.0,57.6,3,1,2,4,25,84,4,5.7,69.3,29,26,45,22,7.3,4,80,0.1,5.4,0.36,0
Guinea,GIN,,37.41,,36.48,45.02,30.73,,62.19,30.63,12.10,41.02,40.76,32.02,68.47,38.85,31.63,48.67,36.43,6.17,,17.3,106,610,24,101,759,10.7,25.0,18.5,34,20,1.3,109.6,5,4,4,3,19.6,25.3,74.4,44.3,30.8,0.6,41.8,1.5,28.5,55.6,34,4.7,14,2.7,2030.2,0.1,41.0,5,1,0,2,20,64,3,21.3,30.5,24,57,74,6,7.6,2,54,,1.6,0.42,0
Guyana,GUY,,60.06,,68.49,58.36,53.35,,85.01,81.32,57.78,49.84,87.96,51.38,62.95,31.14,60.50,62.41,53.83,36.64,,5.1,33,280,17,35,194,64.8,4.8,83.9,42,78,2.7,23.4,4,4,3,2,27.8,85.0,76.2,111.5,95.0,1.2,68.8,33.0,27.1,65.9,29,16.9,11,29.7,1833.5,1.8,18.7,2,0,2,4,30,66,4,9.3,58.1,27,,56,19,5.9,4,84,0.02,11.1,0.11,0
Honduras,HND,,61.28,,63.42,70.57,49.84,,87.10,79.85,52.80,33.94,85.16,49.73,75.55,71.85,50.38,69.24,53.46,26.29,,9.6,52,100,18,23,152,87.2,15.7,80.6,51,81,3.2,82.7,5,5,5,2.5,18.8,85.1,94.0,74.6,70.8,1.2,92.9,18.1,36.9,73.2,22,19.8,8,7.9,705.7,0.1,76.8,4,1,1,3,30,69,4,5.4,81.7,26,35,56,32,5.8,4,78,0.21,7.8,0.28,0
Hungary,HUN,,73.87,,86.24,71.91,63.46,,97.55,98.35,70.32,78.73,96.63,74.56,65.97,50.48,73.02,69.89,56.98,53.94,,<5.0,9,21,4,6,16,94.3,0.0,100.0,49,100,5.6,43.6,1,2,3,1.5,9.1,99.0,92.5,100.2,101.3,1.0,116.1,72.0,26.1,74.9,25,24.8,21,20.8,409.8,0.5,29.6,1,1,1,4,60,55,3,10.8,90.7,54,58,53,24,4.1,3,90,0.53,12.6,0.04,1
Iceland,ISL,,88.07,,94.32,88.19,81.71,,98.78,100.00,85.05,93.45,98.65,98.82,81.62,73.65,87.96,87.59,88.44,62.84,,<5.0,6,5,2,2,18,100.0,0.0,100.0,43,100,6.7,0.0,1,1,2,1,2.8,99.0,98.5,97.0,116.8,1.0,108.1,96.2,8.5,82.4,10,21.9,14,9.2,407.9,0.1,81.9,1,1,2,4,90,87,3,1.0,,78,80,78,79,1.0,4,98,0.92,,0.03,1
India,IND,,50.24,,54.48,56.84,39.39,,75.69,51.85,39.77,50.64,77.80,39.87,68.98,40.72,54.27,54.52,21.54,27.24,,17.5,125,200,22,56,363,25.2,6.8,35.1,47,75,3.2,124.5,2,3,4,4,18.9,62.8,93.3,86.5,54.8,0.9,69.9,12.6,41.2,66.0,27,1.9,14,25.2,618.1,3.6,39.2,2,1,0,3,50,57,2,30.8,80,36,61,30,11,8.2,1,51,0.21,5.6,0.42,3
Indonesia,IDN,,58.98,,63.65,69.42,43.86,,84.77,52.19,64.33,53.31,90.11,51.40,77.99,58.18,49.47,63.09,29.56,33.31,,8.6,60,220,15,31,244,20.6,17.2,58.7,62,94,4.3,96.7,3,4,3,3,17.7,92.8,93.7,90.8,71.0,1.0,114.2,15.4,41.1,70.4,25,4.7,11,4.6,883.4,3.3,78.1,2,1,0,3,30,70,1,5.1,82.1,32,66,22,2,7.3,1,82,0.09,8.9,0.20,1
Iran,IRN,,56.65,,77.76,58.36,33.82,,92.55,93.46,71.90,53.15,90.98,35.06,72.85,34.53,5.82,59.57,31.81,38.08,,<5.0,32,21,13,18,82,93.4,7.2,99.6,20,98,5.3,3.6,2,2,3,4,34.1,85.0,99.8,100.9,76.8,0.9,76.1,26.0,73.4,73.4,20,21.6,24,5.0,934.7,4.8,37.1,6,0,0,0,10,57,1,5.7,89.6,25,65,50,,8.8,2,66,0.55,8.3,,1
Iraq,IRQ,,44.84,,60.82,46.36,27.35,,81.39,70.23,70.16,21.52,68.19,42.32,68.18,6.74,19.29,46.59,21.34,22.17,,26.2,,63,9,34,168,74.4,27.1,83.9,23,98,,8.1,5,5,5,4,31.5,78.5,91.8,65.8,39.5,0.7,81.6,7.1,44.7,69.0,24,29.4,23,2.6,2189.3,3.5,0.0,5,0,0,1,,29,1,5.6,71.4,16,30,37,10,10.0,1,67,0.33,5.5,0.33,0
Ireland,IRL,,84.05,,93.63,75.89,82.63,,98.34,99.37,88.61,88.19,99.37,87.90,81.04,35.26,87.96,87.68,84.46,70.44,,<5.0,1,6,3,4,29,99.7,0.3,99.0,63,100,6.5,0.0,1,2,2,1,4.7,99.0,98.8,109.2,131.0,1.0,107.2,79.0,10.1,80.5,13,24.5,4,10.3,374.5,2.9,18.7,1,1,2,4,90,90,4,1.0,85.3,72,88,84,75,1.6,3,96,1.01,13.2,0.03,3
Israel,ISR,,71.40,,85.77,71.57,56.87,,98.29,100.00,77.88,66.88,98.36,74.99,77.67,35.28,48.17,72.78,33.72,72.82,,<5.0,1,7,3,4,31,100.0,0.0,100.0,36,100,5.6,0.0,2,2,3,4,4.7,97.1,97.1,102.5,101.4,1.0,120.7,73.4,33.0,81.8,11,25.5,26,6.6,447.9,4.8,39.3,1,1,0,0,75,65,2,5.2,88.6,61,61,32,31,9.8,1,89,1.22,13.8,0.08,3
Italy,ITA,,76.93,,86.73,77.48,66.58,,98.52,99.93,80.65,67.83,98.02,70.22,83.17,58.50,78.37,68.46,62.13,57.37,,<5.0,1,4,3,4,16,99.7,0.0,,44,100,5.8,0.0,1,3,4,2,7.2,99.0,97.2,106.3,97.4,1.0,159.8,58.0,26.1,82.1,11,17.2,16,5.4,314.4,3.4,79.8,1,1,2,4,50,55,3,3.1,84.4,43,64,70,56,4.7,2,86,0.33,12.4,0.13,4
Jamaica,JAM,,70.39,,69.23,76.34,65.60,,88.95,79.46,70.28,38.22,91.49,82.07,77.23,54.58,82.18,75.08,59.90,45.25,,8.7,60,110,13,17,159,70.3,8.3,80.2,42,92,4.4,15.1,5,5,4,3.5,11.6,87.0,90.8,91.4,94.9,1.0,96.3,46.5,9.9,73.1,18,24.6,11,1.2,680.9,5.0,88.0,2,2,2,4,40,75,4,4.0,86.5,38,29,74,15,4.0,4,84,0.49,11.7,0.11,0
Japan,JPN,,84.21,,94.72,79.25,78.67,,97.28,99.53,89.74,92.33,99.75,76.75,83.26,57.24,95.20,80.40,61.32,77.74,,<5.0,40,5,3,3,40,98.4,0.0,100.0,79,100,6.0,0.0,1,1,2,1,5.2,99.0,99.9,100.5,103.1,1.0,110.9,79.1,25.2,82.6,10,4.5,17,18.1,328.4,3.1,73.5,1,2,2,4,80,70,4,3.3,75.9,74,62,58,34,3.8,3,90,1.21,13.9,,4
Jordan,JOR,,61.92,,81.31,61.15,43.29,,92.02,92.46,74.97,65.79,93.82,59.36,67.84,23.60,28.16,66.42,38.32,40.26,,<5.0,24,63,13,19,84,90.9,6.8,98.1,22,99,5.8,3.7,1,2,3,3,22.9,95.9,97.5,95.1,76.8,1.0,128.2,41.0,38.5,73.6,26,34.3,22,2.5,810.0,4.6,8.5,6,0,0,2,60,65,2,7.9,80.8,45,74,31,,7.1,2,82,0.49,11.8,0.22,0
Kazakhstan,KAZ,,59.47,,75.14,54.80,48.47,,95.15,80.90,64.41,60.09,92.34,57.60,49.93,19.32,30.61,61.28,48.82,53.16,,<5.0,3,51,5,19,95,54.9,8.3,97.3,44,100,4.8,39.4,3,2,3,3,21.9,99.7,86.0,102.4,87.0,1.0,185.8,53.3,55.1,68.9,38,24.4,40,31.6,1376.8,4.0,14.1,6,1,0,2,30,75,1,8.5,79.8,26,73,52,7,6.2,3,87,0.6,12.2,0.07,1
Kenya,KEN,,50.20,,45.80,66.38,38.41,,64.30,34.87,41.47,42.57,74.13,51.95,73.98,65.48,32.28,61.27,34.27,25.83,,30.4,201,360,22,73,624,20.2,28.6,29.4,55,23,3.8,59.3,5,4,4,2.5,20.9,72.2,81.8,90.4,43.9,0.9,71.2,32.1,27.8,60.4,25,4.7,5,10.4,771.4,0.7,68.0,4,1,0,1,30,61,3,5.7,65.6,27,48,54,12,9.0,1,83,0.1,9.2,0.31,0
"Korea, Republic of",KOR,,77.18,,88.69,76.26,66.58,,98.11,90.75,80.81,85.09,97.65,83.90,77.96,45.53,66.82,77.19,57.28,65.05,,<5.0,5,16,3,4,29,93.3,11.8,100.0,56,93,5.7,0.0,2,1,2,1,14.1,97.9,98.9,98.9,94.7,1.0,109.4,84.1,24.5,80.9,12,7.3,24,21.8,512.8,3.5,50.4,2,1,1,3,70,59,4,2.3,93.4,55,55,56,14,3.1,4,77,1.13,14.6,0.26,3
Kuwait,,,70.66,,87.56,73.11,51.32,,96.52,97.70,76.39,79.64,94.62,76.79,73.44,47.59,36.94,72.31,63.43,32.62,,<5.0,11,14,5,11,53,,0.0,100.0,47,94,5.2,10.4,2,1,2,2,16.5,93.9,92.1,107.3,90.8,1.0,156.9,79.2,28.3,74.3,14,42.8,12,2.2,1667.0,5.0,92.9,5,0,1,2,50,93,2,6.6,76,43,92,69,,4.6,2,89,0.24,9.2,,0
Kyrgyzstan,KGZ,,57.08,,64.42,60.54,46.26,,91.07,77.42,42.74,46.45,91.92,58.96,65.72,25.57,39.38,61.24,37.33,47.10,,6.4,43,71,10,27,112,54.0,11.3,93.3,44,100,2.7,123.8,5,4,3,3,19.2,99.2,90.5,93.1,78.1,1.0,124.2,21.7,32.2,69.6,35,17.2,12,16.0,994.0,4.8,15.8,5,1,1,2,20,66,2,8.7,80.2,24,59,47,5,8.4,2,85,0.43,12.3,0.07,0
Laos,LAO,,52.41,,59.01,61.58,36.65,,68.26,52.20,47.40,68.20,69.60,31.87,74.87,69.98,13.95,60.23,54.28,18.14,,27.8,203,470,14,72,376,23.5,20.1,61.5,44,66,5.2,159.9,2,2,3,2,20.4,72.7,95.9,58.1,31.6,0.9,64.7,10.7,68.0,67.4,31,3,2,11.4,1490.4,0.0,93.9,7,0,0,2,15,87,2,20.4,66.7,26,88,63,41,6.1,3,69,0.16,4.3,0.31,0
Latvia,LVA,,73.91,,82.77,79.11,59.85,,96.50,84.97,76.90,72.69,97.52,80.77,59.97,78.16,67.19,70.06,49.67,52.49,,<5.0,28,34,4,9,30,81.7,3.8,78.6,40,100,5.3,14.8,2,2,3,2,10.8,99.8,97.5,98.3,99.0,1.0,112.1,74.0,22.9,73.6,27,22,46,18.1,422.7,0.4,95.2,2,1,1,4,50,51,3,3.2,85.5,53,56,34,20,5.4,4,83,0.61,13,0.04,0
Lebanon,LBN,,60.05,,74.35,61.28,44.52,,95.06,98.82,51.03,52.48,87.08,64.42,72.60,21.03,39.38,65.21,31.21,42.29,,<5.0,21,25,9,9,47,98.0,0.0,98.3,22,100,1.3,1.0,2,2.5,5,2.5,22.3,89.6,93.2,86.3,62.6,1.0,80.8,61.2,30.2,79.6,21,28.2,28,2.1,424.7,4.5,1.7,5,1,1,2,20,61,3,4.7,81.4,28,60,53,7,8.5,1,70,,10.9,0.24,1
Lesotho,LSO,,48.94,,43.17,51.07,52.57,,57.19,40.56,24.09,50.85,71.22,44.88,64.80,23.38,62.90,65.27,53.40,28.69,,16.6,109,620,25,100,1255,20.9,18.1,26.3,38,17,3.5,121.2,5,3,3,2,28.4,75.8,81.6,62.4,35.3,1.4,75.3,4.6,28.4,48.2,29,16.9,6,7.6,850.1,4.0,1.3,2,0,2,4,40,62,4,19.3,67.1,49,61,44,18,4.7,4,82,0.04,9.8,0.24,0
Liberia,LBR,,44.02,,36.77,48.99,46.29,,54.36,26.29,13.36,53.07,42.36,38.18,74.45,40.98,61.55,59.99,52.24,11.37,,31.4,225,770,27,75,782,4.5,29.0,18.2,29,4,2.6,110.2,4,3,4,2,19.0,42.9,40.6,49.4,40.3,0.8,57.1,3.8,29.9,59.9,26,5.5,9,3.1,833.8,0.3,4.1,3,1,2,3,30,87,4,20.3,27,38,72,71,17,6.5,3,79,0.28,3.1,0.46,0
Lithuania,LTU,,73.76,,81.47,77.96,61.84,,97.62,81.91,74.73,71.63,97.71,78.90,62.18,73.05,73.02,68.35,50.06,55.95,,<5.0,9,8,4,5,34,89.6,16.9,86.7,25,100,5.5,16.7,3,2,3,1.5,11.1,99.7,96.2,103.3,115.9,1.0,165.1,68.0,18.2,73.6,25,24.7,21,31.2,447.5,1.2,91.8,1,1,1,4,60,46,3,3.6,79.5,57,48,36,16,3.7,3,85,0.84,13.2,0.05,0
Macedonia,MKD,,68.33,,81.87,67.90,55.23,,96.28,93.47,64.98,72.75,89.24,71.82,70.45,40.09,67.92,67.15,41.92,43.92,,<5.0,32,10,6,7,24,89.9,1.0,91.3,45,99,4.9,73.2,1,3,3,2,7.9,97.4,88.0,90.3,75.7,1.0,106.2,63.1,34.3,74.9,23,20.3,30,6.5,593.8,2.6,27.5,3,1,2,4,35,58,3,8.9,82.6,44,64,51,12,7.8,3,76,,11.6,0.12,0
Madagascar,MDG,,44.28,,39.73,51.90,41.20,,68.31,16.07,22.44,52.11,68.05,31.35,76.24,31.95,41.60,58.33,44.15,20.73,,33.4,223,240,21,58,408,6.6,43.9,13.7,59,14,2.5,149.9,3,3,4,3,18.4,64.5,99.0,50.6,19.3,1.0,39.4,2.1,28.6,63.8,25,1.7,5,10.1,2699.7,1.2,37.1,5,1,0,3,40,47,3,5.2,66.3,28,38,54,9,4.9,3,67,,5.7,0.30,0
Malawi,MWI,,48.79,,44.92,55.65,45.80,,60.65,48.85,19.51,50.68,62.80,28.46,64.25,67.08,62.57,61.68,41.44,17.52,,23.1,143,460,24,71,1156,6.7,12.9,52.9,48,9,2.6,140.3,5,3,3,3,19.5,61.3,96.9,42.3,16.9,0.9,29.2,4.4,28.2,54.1,36,4.5,7,17.3,1491.2,0.1,87.8,3,1,1,4,45,64,4,20.2,62.7,37,62,55,5,5.7,3,60,0.01,5.1,0.30,0
Malaysia,MYS,,70.00,,86.27,76.06,47.68,,94.78,96.69,84.48,69.14,87.25,67.06,80.22,69.71,33.81,69.38,37.33,50.19,,<5.0,17,29,6,9,185,96.9,1.5,95.7,63,99,5.8,3.7,2,2,2,2.5,25.0,93.1,97.0,92.0,48.6,1.0,141.3,65.8,42.7,74.7,20,14.1,7,3.9,738.1,2.1,93.4,4,0,0,2,55,82,1,4.5,76.5,50,82,20,6,6.1,2,83,0.38,11.6,,2
Mali,MLI,,46.85,,45.73,52.72,42.11,,64.58,25.28,26.17,66.89,48.55,52.31,73.69,36.34,59.37,52.85,47.37,8.85,,7.9,42,540,23,128,827,13.3,36.6,21.6,49,17,3.4,109.0,3,3,2,1.5,23.1,33.4,68.7,59.5,40.6,0.7,98.4,2.2,30.0,54.2,26,4.8,5,2.8,1684.9,0.2,14.3,5,2,1,4,20,70,4,20.1,24.2,28,84,80,2,7.6,2,82,0.06,1.3,0.37,0
Mauritania,MRT,,43.11,,49.43,54.03,25.88,,69.22,49.60,32.20,46.71,49.74,53.88,70.38,42.12,27.52,17.62,48.00,10.36,,9.3,56,510,27,84,575,23.0,4.7,26.6,32,18,3.3,68.8,4,3,4,2.5,28.0,58.6,69.6,32.0,19.3,0.8,106.0,5.4,26.8,61.2,28,14,14,2.7,1191.3,0.6,32.6,6,0,1,2,25,48,2,97.9,28.1,30,79,54,10,7.2,4,76,0.07,3.4,0.42,0
Mauritius,MUS,,73.68,,86.39,71.43,63.21,,93.34,96.55,78.40,77.28,95.10,65.06,76.73,48.82,72.32,82.39,62.87,35.24,,<5.7,40,60,9,15,52,99.7,0.2,90.6,50,100,5.1,3.5,2,2,2,2,12.2,88.8,97.8,105.0,89.2,1.0,119.9,41.4,26.5,73.3,26,18.2,0,6.7,397.3,,43.7,1,0,2,4,65,83,4,1.8,92.3,52,73,79,24,3.5,3,80,0.11,10.2,0.14,0
Mexico,MEX,,66.41,,74.18,67.37,57.67,,95.50,87.86,78.73,34.61,91.19,52.65,75.08,50.57,71.52,71.53,44.50,43.14,,<5.0,8,50,5,16,68,90.3,6.6,84.7,63,99,4.7,16.1,5,5,4,4,14.7,93.5,95.6,106.8,60.5,1.1,83.4,38.4,45.3,76.9,17,32.8,13,4.5,487.4,3.5,62.3,3,1,2,4,50,77,3,5.6,86.9,34,51,42,39,6.1,2,75,0.61,10.1,0.22,1
Moldova,MDA,,60.12,,72.65,59.66,48.04,,89.16,77.94,57.49,65.99,87.02,65.68,58.00,27.95,48.45,56.62,38.48,48.62,,<5.0,200,41,9,18,59,53.2,6.1,86.1,25,99,4.3,38.5,3,2,3,2.5,13.9,99.0,87.9,87.5,57.8,1.0,102.0,43.4,26.0,68.6,30,20.4,42,19.0,1083.2,1.5,7.5,3,1,0,3,40,55,2,25.7,85.3,35,34,41,9,6.0,2,79,0.46,12.8,0.06,0
Mongolia,MNG,,58.97,,53.67,63.67,59.56,,82.01,31.24,36.39,65.05,97.20,57.31,65.74,34.43,73.57,66.90,55.33,42.44,,24.2,216,63,11,28,89,18.6,46.9,53.0,12,86,3.6,222.3,3,3,2,2.5,17.8,97.4,97.3,93.5,121.6,1.0,120.7,16.4,29.9,67.1,31,16.4,21,12.2,2354.6,4.0,73.3,1,1,2,4,30,59,3,5.4,81.6,38,50,38,14,3.7,4,91,0.42,10.3,0.09,0
Montenegro,,,66.80,,78.91,69.01,52.48,,97.27,91.21,58.66,68.52,96.05,69.86,68.01,42.11,61.37,60.61,39.40,48.54,,<5.0,38,8,3,6,17,90.5,4.2,90.0,24,100,4.5,47.1,2,3,3,1.5,15.0,98.5,98.4,92.8,89.2,1.0,181.3,56.8,33.0,74.5,23,21.8,,18.6,6220.0,0.3,51.6,3,1,1,4,40,43,3,10.9,72.6,44,45,54,15,6.5,2,69,,11.9,0.03,0
Morocco,MAR,,58.01,,71.86,62.57,39.60,,87.74,54.56,76.18,68.95,76.68,63.71,75.37,34.54,41.60,64.82,37.61,14.37,,5.5,34,100,20,31,104,59.0,37.3,69.8,34,99,5.5,6.4,1,3,2,3,18.0,67.1,96.9,84.0,54.4,0.9,120.0,55.0,39.0,70.4,18,17.3,20,3.6,322.9,4.2,31.2,5,1,0,3,40,72,1,7.2,85.6,37,56,47,7,6.5,3,60,0.3,4.5,0.46,0
