,Country Code,,Social Progress Index,,Basic Human Needs,Foundations of Wellbeing,Opportunity,,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Ecosystem Sustainability,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education,,Undernourishment (% of pop.),Depth of food deficit (calories/undernourished person),"Maternal mortality rate (deaths/100,000 live births)","Stillbirth rate (deaths/1,000 live births)","Child mortality rate (deaths/1,000 live births)","Deaths from infectious diseases (deaths/100,000)",Access to piped water (% of pop.),Rural vs. urban access to improved water source (absolute difference between % of pop.),Access to improved sanitation facilities (% of pop.),Availability of affordable housing (% satisfied),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Indoor air pollution attributable deaths (deaths/100,000)","Homicide rate (1= <2/100,000; 5= >20/100,000",Level of violent crime (1=low; 5=high),Perceived criminality (1=low; 5=high),Political terror (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Lower secondary school enrollment (% of children),Upper secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Press Freedom Index (0=most free; 100=least free),Life expectancy (years),Non-communicable disease deaths between the ages of 30 and 70 (probability of dying),Obesity rate (% of pop.),"Outdoor air pollution attributable deaths (deaths/100,000)","Suicide rate (deaths/100,000)",Greenhouse gas emissions (CO2 equivalents per GDP),Water withdrawals as a percent of resources,Biodiversity and habitat (0=no protection; 100=high protection),Political rights (1=full rights; 7=no rights),Freedom of speech (0=low; 2=high),Freedom of assembly/association (0=low; 2=high),Freedom of movement (0=low; 4=high),Private property rights (0=none; 100=full),Freedom over life choices (% satisfied),Freedom of religion (1=low; 4=high),"Modern slavery, human trafficking and child marriage (1=low; 100=high)",Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Women treated with respect (0=low; 100=high),Tolerance for immigrants (0=low; 100=high),Tolerance for homosexuals (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Religious tolerance (1=low; 4=high),Community safety net (0=low; 100=high),Years of tertiary schooling,Women's average years in school,Inequality in the attainment of education (0=low; 1=high),Number of globally ranked universities (0=none; 5= >50)
Mozambique,MOZ,,45.23,,41.19,49.86,44.64,,51.37,17.36,34.36,61.68,54.21,31.10,60.40,53.73,45.20,54.33,60.07,18.96,,39.2,292,490,28,90,957,6.4,44.7,19.1,46,15,3.2,78.9,3,2,3,3,18.5,50.6,86.2,34.2,12.4,0.9,36.2,4.8,28.0,49.5,33,5.4,15,20.9,1356.3,0.8,63.2,4,1,1,2,30,64,4,20.1,35.9,30,40,77,38,4.9,3,82,0.02,2.8,0.18,0
Namibia,NAM,,61.19,,59.01,69.10,55.46,,69.01,55.66,55.86,55.52,77.54,65.63,71.34,61.90,70.15,70.25,54.84,26.61,,33.9,250,200,15,39,670,44.9,8.3,32.3,52,44,5.5,86.8,4,3,3,2,25.0,76.5,87.7,82.5,36.2,1.2,95.0,12.9,12.5,63.3,32,10.9,6,5.9,1185.1,1.9,94.4,2,1,2,4,30,76,4,18.9,74.5,48,,56,18,5.3,4,83,0.07,9.2,0.28,0
Nepal,NPL,,51.58,,57.13,60.12,37.49,,77.14,51.84,34.90,64.64,79.19,41.35,73.79,46.15,47.80,54.21,38.28,9.68,,18.0,126,170,23,42,338,19.5,4.3,35.4,62,76,1.6,110.1,2,3,2,3.5,16.0,57.4,97.4,88.5,47.5,1.0,59.6,11.1,34.6,67.5,25,1.5,2,24.6,1135.4,2.4,61.8,4,1,0,4,30,57,3,26.6,65,31,50,60,23,9.0,2,73,0.1,3.1,0.44,0
Netherlands,NLD,,87.37,,93.91,87.56,80.63,,98.16,100.00,88.92,88.56,99.26,97.83,81.29,71.85,87.96,89.44,75.45,69.67,,<5.0,8,6,3,4,28,100.0,0.0,100.0,59,100,6.7,0.0,1,2,2,1,3.9,99.0,99.7,134.3,122.7,1.0,118.0,93.0,6.5,81.2,13,16.2,16,8.5,465.9,1.7,94.7,1,1,2,4,90,87,4,2.1,86.5,83,86,79,85,4.1,2,94,0.82,12.6,0.04,4
New Zealand,NZL,,88.24,,91.74,84.97,88.01,,97.57,100.00,83.23,86.13,99.49,96.74,77.81,65.84,98.80,94.00,82.41,76.84,,<5.0,13,15,4,6,15,100.0,0.0,,49,100,6.1,0.0,1,2,2,1,9.1,99.0,99.1,105.0,138.3,1.0,110.4,89.5,8.4,80.9,13,27,14,10.6,703.3,1.4,76.1,1,2,2,4,95,94,4,1.1,89.1,91,82,87,69,3.5,4,96,1.47,13.6,,3
Nicaragua,NIC,,62.33,,63.31,70.91,52.77,,84.21,54.40,53.99,60.62,81.16,51.49,77.21,73.80,46.78,72.00,63.56,28.74,,20.1,131,95,14,24,87,63.4,29.8,52.1,48,74,3.9,64.7,4,2,3,2.5,18.8,78.0,91.8,79.1,53.8,1.1,86.1,13.5,28.3,74.1,18,24.2,5,7.6,920.2,1.0,91.7,4,1,1,3,15,84,3,5.5,87.5,28,38,64,57,5.9,4,89,0.52,7.6,0.33,0
Niger,NER,,40.10,,33.74,48.87,37.70,,64.19,4.75,16.43,49.59,30.77,33.92,77.27,53.54,40.88,58.04,44.47,7.39,,12.6,68,590,23,114,730,8.1,60.5,9.6,42,9,,103.1,4,4,3,2.5,23.7,28.7,62.8,21.5,6.8,0.7,31.4,1.4,23.1,57.5,23,2.5,4,2.4,2242.3,0.1,77.2,3,1,0,2,30,73,4,20.5,39,34,78,72,3,7.8,3,70,0.04,1.3,0.40,0
Nigeria,NGA,,42.65,,36.57,58.08,33.29,,57.41,31.12,34.20,23.57,51.08,50.64,67.68,62.91,32.28,50.50,32.99,17.39,,8.5,50,630,42,124,832,3.9,27.8,30.6,41,48,1.8,58.2,4,5,5,4,33.7,51.1,56.2,46.3,41.1,0.9,66.8,32.9,34.1,51.7,29,7.1,17,3.0,915.6,0.3,57.5,4,1,0,1,30,63,2,14.0,40.4,25,51,62,7,9.8,1,81,,6.6,0.45,0
Norway,NOR,,87.12,,93.59,86.94,80.82,,98.71,100.00,82.93,92.75,99.44,98.45,81.60,68.26,87.96,93.27,74.50,67.57,,<5.0,3,7,2,3,27,100.0,0.0,100.0,35,100,6.6,0.0,1,1,2,1,4.3,100.0,99.3,100.1,125.7,1.0,116.7,95.0,6.5,81.3,12,19.8,10,10.4,243.7,0.4,71.7,1,1,2,4,90,92,4,1.1,93.7,86,86,74,66,3.6,3,93,0.85,14.9,0.02,2
Pakistan,PAK,,42.40,,51.24,47.75,28.22,,63.07,59.20,37.88,44.80,50.84,32.46,69.29,38.43,35.56,38.80,25.35,13.15,,19.9,152,260,47,86,387,35.9,6.8,47.4,49,91,2.0,100.2,3,4,3,5,17.4,54.9,72.5,49.4,27.1,0.7,67.1,10.0,51.3,66.3,27,5.9,25,12.2,753.4,4.3,41.4,4,0,1,2,30,35,1,32.1,55.5,28,69,38,30,9.7,1,54,0.23,4.3,0.45,0
Panama,PAN,,72.58,,77.39,77.85,62.48,,90.08,80.84,78.97,59.69,90.42,66.25,80.28,74.47,70.15,71.85,60.79,47.14,,10.2,67,92,10,19,92,92.2,11.2,71.2,60,88,5.4,21.4,5,3,3,1.5,14.1,94.1,91.2,89.1,78.8,1.1,178.0,45.2,33.0,77.2,13,25.8,5,6.8,525.6,0.4,87.0,2,1,2,4,30,73,4,1.7,73.4,35,47,53,44,5.0,4,88,0.78,11.9,0.18,0
Paraguay,PRY,,62.65,,63.41,66.40,58.16,,80.07,59.29,59.24,55.04,82.46,60.62,78.36,44.16,66.72,71.26,62.86,31.78,,25.5,182,99,19,22,93,65.6,33.4,70.8,67,97,3.0,66.4,4,3,3,2.5,21.4,93.9,83.5,79.1,56.2,1.1,101.6,27.1,28.8,72.1,18,19.2,5,6.3,1167.6,0.0,31.2,3,1,2,4,30,75,4,9.5,92.7,24,32,87,45,6.5,3,93,0.14,9.4,,0
Peru,PER,,66.29,,68.71,72.94,57.21,,89.33,67.72,69.82,47.99,91.58,63.36,81.55,55.28,64.80,71.88,50.53,41.62,,11.2,71,67,10,18,173,75.3,24.7,71.6,36,85,4.9,27.6,4,4,4,2.5,15.9,89.6,93.7,99.4,77.6,1.0,98.0,38.2,31.9,74.2,12,16.5,13,3.1,320.5,3.2,70.4,2,1,1,4,40,66,4,10.0,91.3,38,24,61,34,7.0,4,75,0.74,10.8,0.25,0
Philippines,PHL,,65.86,,66.76,69.17,61.63,,83.13,74.14,58.94,50.84,88.96,57.88,77.51,52.35,61.55,73.90,56.43,54.64,,17.0,106,99,16,30,231,42.7,0.7,74.2,57,83,4.0,88.4,2,4,4,4,9.1,95.4,88.2,87.4,75.8,1.1,106.5,36.2,43.1,68.4,23,6.4,12,4.2,448.5,3.3,64.7,3,1,2,3,30,91,4,6.7,68.7,36,78,63,59,7.9,3,81,1.04,10.6,0.14,1
Poland,POL,,77.44,,84.72,81.10,66.50,,98.18,95.07,62.93,82.71,97.37,83.55,70.96,72.51,80.76,78.47,54.05,52.70,,<5.0,5,5,3,5,28,98.0,,89.3,21,100,5.5,36.0,1,2,2,1.5,11.8,99.7,96.3,97.5,97.2,1.0,140.3,65.0,13.1,76.7,22,23.2,17,16.1,568.8,1.3,91.8,1,1,2,4,60,75,4,10.3,87.5,60,63,39,19,3.8,3,91,0.46,13.1,0.06,1
Portugal,PRT,,80.49,,90.93,76.11,74.43,,98.16,99.89,80.77,84.92,98.66,77.66,75.93,52.20,92.80,82.45,73.06,49.41,,<5.0,2,8,3,4,46,99.7,0.0,100.0,31,100,6.4,0.0,1,1,2,2,11.8,95.4,99.1,117.0,102.6,1.0,116.1,64.0,16.8,80.7,13,21.6,26,11.8,345.4,3.3,64.4,1,2,2,4,70,73,4,1.6,92.8,62,58,75,48,2.3,4,85,0.3,10.4,0.06,2
Romania,ROU,,67.72,,73.71,74.54,54.91,,96.90,65.09,57.21,75.63,93.49,73.32,68.40,62.96,64.80,70.19,37.12,47.52,,<5.0,3,27,4,12,38,61.7,22.9,72.1,24,100,4.3,42.8,1,2,3,2,11.1,97.7,87.9,96.0,96.0,1.0,105.0,50.0,23.1,74.5,24,17.7,34,10.4,559.8,0.8,63.5,2,1,1,4,40,60,3,4.0,88,43,35,40,17,6.3,2,72,0.33,13.1,0.05,0
Russia,RUS,,60.79,,72.15,63.66,46.58,,94.55,80.55,68.88,44.61,91.58,63.17,51.99,47.88,19.77,57.23,33.96,75.35,,<5.0,12,34,10,10,71,82.0,6.6,70.4,23,100,4.5,11.4,4,3,4,4,18.6,99.7,93.4,86.2,82.5,1.0,182.9,53.3,43.4,69.0,32,24.9,47,27.5,1151.9,1.2,53.4,6,0,0,2,25,51,1,12.4,92.7,28,46,42,12,8.2,1,86,1.58,13.8,,2
Rwanda,RWA,,49.46,,50.14,58.01,40.23,,66.57,50.72,34.96,48.33,67.90,25.69,74.73,63.71,33.89,67.01,42.35,17.67,,28.9,196,340,23,55,595,3.6,13.1,61.3,34,11,4.1,95.4,4,3,4,3,19.9,65.9,98.7,36.7,25.3,1.1,49.7,8.0,55.5,62.9,27,4.3,3,10.2,419.7,0.0,56.3,6,0,1,3,30,84,2,19.6,70.6,53,97,56,2,8.2,4,64,0.04,4.7,0.29,0
Saudi Arabia,SAU,,64.38,,83.12,69.84,40.18,,95.15,90.40,82.01,64.93,94.07,57.82,70.54,56.94,9.60,57.02,50.78,43.34,,<5.0,18,24,8,9,86,66.7,0.0,100.0,44,94,6.4,10.7,1,1.5,3,3.5,24.8,87.2,93.4,118.0,110.4,1.0,187.4,54.0,56.9,75.3,25,35.2,17,0.5,799.8,5.0,93.7,7,0,0,0,40,59,1,8.7,56.5,46,89,69,,7.4,2,80,0.45,9.2,,2
Senegal,SEN,,53.52,,54.11,63.55,42.90,,66.92,45.43,39.84,64.25,52.28,52.35,74.83,74.73,59.62,55.21,48.26,8.53,,20.5,134,370,34,60,509,43.3,34.5,51.4,43,57,2.3,38.1,3,3,2,2.5,19.5,49.7,73.3,39.9,16.7,0.9,83.6,19.2,26.2,63.0,24,8,12,3.6,986.8,0.2,85.4,2,1,1,3,40,67,4,22.3,27.7,41,62,77,3,6.3,3,71,0.12,2.5,0.45,0
Serbia,SRB,,70.61,,81.86,77.10,52.87,,96.51,94.63,63.74,72.56,94.24,67.15,67.99,79.03,54.45,62.74,47.06,47.24,,<5.0,39,12,5,7,17,85.9,0.6,97.2,38,100,4.9,54.2,1,3,3,2,8.3,98.0,91.4,97.8,86.3,1.0,117.8,48.1,26.6,74.6,25,23,,13.3,975.1,0.6,99.8,2,1,1,2,40,45,3,10.4,81.7,42,40,68,21,8.0,3,81,0.39,11.5,0.10,1
Slovakia,SVK,,78.93,,90.49,83.25,63.04,,96.76,98.15,83.24,83.83,96.63,88.21,73.79,74.38,78.37,67.44,56.15,50.20,,<5.0,35,6,4,8,35,93.9,0.0,99.7,47,100,6.2,4.7,1,2,2,1.5,9.4,99.6,,97.0,90.1,1.0,111.9,80.0,13.3,76.0,21,24.6,9,12.7,399.9,0.2,84.3,1,1,2,4,50,53,3,10.3,88.6,47,65,41,27,5.0,4,89,0.38,13.3,0.02,0
Slovenia,SVN,,81.65,,92.05,83.60,69.30,,98.28,99.64,78.90,91.39,97.64,79.53,75.65,81.59,80.76,82.07,63.53,50.83,,<5.0,6,12,3,3,21,99.6,0.4,100.0,24,100,6.4,5.5,1,1,2,1,7.2,99.7,97.2,95.6,99.6,1.0,108.6,70.0,20.5,80.0,14,27,10,18.1,385.0,0.0,100.0,1,1,2,4,60,89,4,9.8,90.6,57,65,56,38,3.3,3,92,0.51,12.9,0.03,0
South Africa,ZAF,,62.96,,60.20,67.49,61.19,,75.90,69.80,64.20,30.90,92.85,70.52,62.36,44.21,74.94,70.82,58.35,40.66,,<5.0,16,300,20,45,983,68.8,19.7,74.0,40,83,3.8,22.2,5,5,4,3,31.9,93.0,85.0,111.0,96.0,1.0,130.6,41.0,24.6,55.3,27,33.5,15,3.5,1176.4,3.0,64.0,2,1,2,4,50,58,4,5.0,83.4,42,54,56,47,5.7,3,90,0.17,10.4,0.21,2
Spain,ESP,,80.77,,90.22,76.90,75.19,,98.16,99.75,82.50,80.45,99.37,80.15,80.83,47.26,83.16,77.32,72.70,67.58,,<5.0,8,6,3,5,24,99.3,0.1,100.0,39,100,6.4,,1,2,3,1.5,5.4,97.7,99.7,122.1,140.6,1.0,108.4,72.0,20.5,82.3,11,24.1,17,5.8,329.2,3.7,56.6,1,1,2,4,70,74,3,1.6,83.5,59,69,81,80,5.8,3,93,0.83,11.7,0.06,4
Sri Lanka,LKA,,59.71,,69.05,67.27,42.80,,82.36,72.11,61.21,60.52,95.67,43.76,74.62,55.04,26.79,70.65,30.68,43.10,,24.0,211,35,17,10,79,29.5,7.3,91.1,42,85,5.0,81.5,2,2,3,4.5,13.7,91.2,94.0,98.8,99.4,1.0,91.6,18.3,56.6,73.9,19,5,4,32.7,411.4,3.0,67.7,5,0,0,2,40,77,2,4.8,90.8,37,72,44,4,9.5,1,82,0.54,11,0.15,0
Sudan,SDN,,38.45,,42.27,46.57,26.50,,55.11,41.95,34.77,37.25,58.84,32.90,69.68,24.87,20.32,34.05,31.12,20.50,,39.4,334,730,,73,377,24.2,15.8,23.5,34,29,,51.3,4,3,4,5,25.1,71.9,,53.8,28.4,0.9,74.4,21.0,70.1,61.7,30,6.6,12,11.2,2084.3,0.9,16.3,7,0,0,3,,40,1,20.9,29,11,60,53,7,10.0,1,81,0.09,6.2,,0
Swaziland,SWZ,,48.87,,50.26,53.05,43.29,,61.03,50.22,35.68,54.10,77.11,40.81,60.29,33.99,19.94,70.25,55.58,27.39,,27.0,193,320,18,80,1200,36.2,26.7,57.0,55,35,4.1,111.6,4,3,3,2.5,23.4,87.8,84.7,68.6,47.2,1.0,65.4,20.8,46.8,48.7,35,23.4,4,9.6,489.4,3.1,17.7,7,0,0,2,40,61,4,4.0,79,39,56,55,18,3.6,3,84,0.14,9.5,0.30,0
Sweden,SWE,,87.08,,94.59,84.71,81.95,,98.26,100.00,86.74,93.35,98.16,98.14,82.15,60.42,87.96,93.08,78.13,68.63,,<5.0,12,4,3,3,20,100.0,0.0,100.0,54,100,6.5,0.0,1,1,2,1,3.0,99.0,99.5,96.7,97.1,1.0,124.6,94.0,9.2,81.8,11,16.6,12,12.0,231.2,1.3,62.4,1,1,2,4,90,93,4,1.1,88.3,89,73,80,69,1.0,2,92,0.84,13.9,0.04,3
Switzerland,CHE,,88.19,,94.87,89.78,79.92,,98.33,99.92,88.48,92.75,94.81,95.41,82.78,86.13,87.96,93.19,74.25,64.30,,<5.0,4,8,3,4,17,99.7,0.0,100.0,56,100,6.8,0.0,1,1,2,1,4.3,99.0,93.6,110.2,86.3,1.0,130.2,85.2,9.9,82.7,10,14.9,11,14.8,170.5,1.1,100.0,1,1,2,4,90,94,4,1.1,92.1,85,90,70,65,3.5,3,94,0.62,13,0.02,3
Tajikistan,TJK,,56.05,,62.68,60.88,44.60,,74.64,61.24,56.47,58.37,88.90,44.58,75.20,34.83,41.13,54.81,41.10,41.36,,31.7,262,65,12,58,229,47.9,35.3,94.7,61,100,,111.8,2,4,3,2.5,18.1,99.7,98.4,94.8,63.1,0.9,81.5,14.5,35.7,67.1,28,9.9,4,6.2,782.7,3.5,24.3,6,1,1,3,20,67,1,9.6,65,22,87,44,1,6.7,3,72,0.24,12.2,0.12,0
Tanzania,TZA,,46.06,,38.79,57.27,42.10,,57.71,21.99,24.13,51.35,63.56,38.18,70.04,57.31,49.33,55.06,43.10,20.92,,38.8,274,460,26,54,782,9.2,34.6,11.9,23,15,2.3,59.0,5,3,3,2.5,22.7,67.8,97.6,46.3,10.2,0.9,57.0,4.0,27.3,60.1,26,5.4,8,18.0,1292.0,1.5,79.1,3,0,1,4,30,57,3,20.5,57.3,33,55,43,16,6.0,2,83,0.03,6.4,0.28,0
Thailand,THA,,65.14,,74.10,71.97,49.34,,93.53,81.78,76.38,44.70,93.18,54.86,77.98,61.89,49.51,69.71,36.28,41.87,,7.3,52,48,4,13,153,47.6,1.4,93.4,85,100,5.2,31.9,2,4,3,3.5,38.1,93.5,95.6,98.6,75.7,1.1,127.3,26.5,38.6,74.0,21,8.5,6,14.7,720.1,1.7,70.2,4,0,1,4,45,83,3,20.8,93.8,35,80,23,27,8.1,1,90,0.35,8.7,0.18,2
Togo,TGO,,42.80,,40.67,53.78,33.96,,68.16,11.33,28.36,54.84,56.31,35.67,74.08,49.05,32.28,50.69,41.04,11.81,,16.5,106,300,25,96,635,5.0,49.5,11.4,23,28,,95.3,4,3,3,3,17.2,60.4,90.4,68.3,35.8,0.5,49.9,4.0,28.5,55.8,25,4.6,7,3.4,1493.5,0.1,44.2,4,1,0,1,30,56,4,21.5,31.6,29,58,67,8,4.8,4,30,0.09,3.9,0.42,0
Trinidad and Tobago,TTO,,69.88,,74.44,71.48,63.73,,90.98,87.67,78.95,40.16,95.46,76.27,70.64,43.56,74.94,72.57,65.90,41.50,,9.3,66,46,9,21,104,75.8,4.2,92.1,48,99,5.4,3.9,5,5,4,2.5,16.7,98.8,95.2,97.5,85.3,1.1,140.8,59.5,23.1,69.7,25,30,0,12.1,1734.2,5.0,83.5,2,1,2,4,50,77,4,2.8,70.5,38,42,72,46,4.4,4,85,0.14,11.8,0.07,0
Tunisia,TUN,,62.96,,77.72,66.76,44.39,,93.31,82.67,72.49,62.41,91.07,59.50,78.47,38.02,51.02,64.30,36.01,26.24,,<5.0,6,56,10,16,134,75.2,10.8,89.8,22,100,5.3,3.4,1,3,4,2,18.8,79.1,98.9,115.9,74.9,1.0,118.1,41.4,39.9,74.8,14,23.8,15,2.3,310.5,3.4,31.1,3,1,1,2,40,53,2,4.4,83.9,41,80,56,11,7.8,2,60,0.32,6.9,,0
Turkey,TUR,,64.62,,82.10,64.36,47.41,,94.45,95.90,79.86,58.18,91.49,57.61,67.82,40.52,56.02,64.60,32.41,36.62,,<5.0,6,20,11,14,53,98.5,0.9,91.0,64,100,4.8,11.4,2,3,4,3,12.0,94.1,96.2,102.5,78.4,0.9,91.5,45.1,46.6,74.5,21,29.3,33,6.3,422.0,3.0,32.6,3,1,0,4,50,45,2,7.4,89.3,50,38,47,14,9.0,2,73,0.29,8.6,0.27,2
Uganda,UGA,,47.75,,43.19,61.00,39.05,,60.83,38.08,29.74,44.13,59.40,37.27,69.20,78.13,40.96,52.27,43.52,19.44,,34.6,230,310,25,69,810,5.0,19.6,35.0,44,15,2.5,79.3,5,3,3,3.5,28.9,73.2,90.9,33.8,14.8,0.8,45.0,14.7,31.7,58.0,33,4.6,2,14.2,716.3,0.0,91.3,6,1,0,4,30,64,3,20.7,44.3,26,67,63,5,8.0,2,88,0.14,5.5,0.32,0
Ukraine,UKR,,64.91,,77.98,61.42,55.33,,95.11,88.05,71.27,57.48,97.64,57.09,51.82,39.13,55.55,61.33,41.51,62.93,,<5.0,6,32,8,11,94,66.3,0.4,94.3,29,100,4.7,16.8,2,3,4,3,13.5,99.7,97.9,98.9,95.3,1.0,130.3,33.7,36.8,70.8,31,20.1,67,20.0,1411.4,2.1,41.5,4,1,1,4,30,49,3,8.4,86.3,25,44,38,14,5.9,2,85,1.29,13.3,0.06,0
United Arab Emirates,ARE,,72.92,,88.62,76.74,53.39,,96.40,92.77,83.91,81.41,92.78,78.60,77.50,58.05,21.79,74.96,68.83,47.99,,<5.0,29,12,4,8,73,78.7,0.4,97.5,50,94,6.5,2.1,1,1,3,1.5,12.7,90.0,91.2,101.0,87.0,,149.6,85.0,33.5,76.8,14,33.7,8,4.0,832.6,5.0,96.5,6,0,0,1,55,88,2,7.7,66.9,69,99,80,,4.3,3,83,0.52,12.6,,0
United Kingdom,GBR,,84.56,,91.90,79.47,82.29,,97.76,99.88,86.55,83.41,97.81,84.81,77.54,57.72,97.60,87.47,70.75,73.35,,<5.0,3,12,4,5,36,99.6,0.0,100.0,50,100,6.7,0.0,1,2,3,1,3.7,99.0,99.7,111.2,87.6,1.0,135.3,87.0,16.9,80.8,13,24.9,21,7.6,307.1,2.6,70.1,1,2,2,4,90,88,3,1.0,94.7,76,88,77,75,5.0,2,93,0.68,13.6,0.03,5
United States,USA,,82.77,,89.82,75.96,82.54,,97.82,95.77,87.99,77.70,95.10,81.33,73.61,53.78,82.28,84.29,74.22,89.37,,<5.0,1,21,3,7,34,,5.7,99.6,67,100,6.2,0.0,2,1,2,3,11.4,99.0,91.9,97.9,89.4,1.0,95.4,81.0,18.2,78.6,15,31.8,18,10.7,528.6,2.9,63.4,1,2,1,3,80,82,3,2.8,92.9,73,75,82,70,4.2,3,90,1.71,13.9,0.05,5
Uruguay,URY,,77.51,,85.79,72.18,74.56,,94.81,97.95,78.39,72.01,95.05,74.90,71.98,46.81,92.80,85.19,78.33,41.91,,<5.0,32,29,9,7,55,99.4,2.4,98.9,40,99,5.6,3.9,2,2,3,1,21.5,98.1,99.5,110.4,70.6,1.1,147.1,55.1,15.9,76.8,20,23.6,19,13.7,817.9,0.9,24.6,1,2,2,4,70,85,4,9.5,91.5,73,47,82,76,2.8,4,85,0.3,11.6,0.11,0
Uzbekistan,UZB,,57.34,,75.88,53.28,42.87,,92.01,73.93,73.81,63.76,94.29,42.11,68.36,8.34,11.35,61.69,48.37,50.07,,6.1,41,28,6,40,104,47.4,17.6,100.0,71,100,,47.5,2,3,3,3,11.3,99.4,88.5,94.5,129.3,1.0,71.0,36.5,60.4,68.0,32,17.3,12,9.9,2797.0,4.3,12.9,7,0,1,0,15,88,1,15.7,87.7,17,96,51,5,7.5,3,92,,12.3,0.01,0
Venezuela,VEN,,63.78,,65.47,75.02,50.86,,92.89,81.20,60.26,27.55,91.16,65.89,74.44,68.58,36.49,66.89,61.45,38.62,,<5.0,16,92,11,15,71,86.8,19.1,90.9,50,100,1.8,1.7,5,4,5,3,37.2,95.5,92.3,91.9,75.5,1.1,101.9,44.0,34.4,74.3,16,30.8,11,8.3,829.6,2.3,92.9,5,0,1,4,5,78,3,9.3,85.5,20,59,67,51,6.4,3,93,0.39,10.7,0.18,0
Yemen,YEM,,40.23,,48.50,47.88,24.31,,70.27,50.76,28.93,44.04,58.01,31.67,72.37,29.46,15.79,54.82,21.89,4.72,,32.4,215,200,23,60,232,40.2,25.4,53.0,30,45,1.5,67.5,2,3.5,4,4.5,23.7,65.3,86.3,56.6,36.9,0.7,58.3,17.4,69.2,62.7,27,16.7,7,2.7,507.3,4.7,23.6,6,0,0,1,30,67,2,7.3,53.4,18,68,25,,9.0,1,68,0.1,1.8,0.50,0
Zambia,ZMB,,49.88,,38.57,63.67,47.41,,49.33,33.23,23.05,48.67,79.52,47.45,64.63,63.09,53.80,62.94,49.18,23.73,,47.4,345,440,26,89,961,15.0,35.9,42.1,41,19,3.1,103.4,5,3,3,3,23.8,61.4,93.7,150.5,63.8,0.9,74.8,13.5,27.9,55.8,34,4.2,15,14.7,3734.9,0.1,100.0,3,1,1,3,30,78,3,19.8,63.1,38,61,68,5,6.0,3,78,0.05,6.7,0.24,0
